nome;num_avali;avali;preco
Refrigerador Electrolux Duplex DC35A 260L - Branco;3170;4.5;1999.00
Refrigerador Consul CRM50HK Frost Free com Espaço Flex e Controle de Temperatura Interno 410L - Inox;374;5.0;3099.00
Refrigerador Consul CRD37EB com Prateleiras Removíveis e Reguláveis Branco - 334L;4460;5.0;1999.00
Refrigerador Consul CRM56HB Frost Free com Espaço Flex Duplex 450L - Branco;745;5.0;3299.00
Refrigerador Brastemp BRM44HB Frost Free com Compartimento para Latas e Long Necks Branco - 375L;3660;5.0;2599.00
Refrigerador Brastemp BRM44HK Frost Free com Gavetão de Legumes Fresh Zone Inox - 375L;1674;5.0;3389.00
Geladeira Side By Side Eco Inverter Philco 434 Litros Inox PRF533ID - 110V;29;5.0;4625.00
Refrigerador Electrolux Cycle Defrost 240 Litros Branco RE31- 127 Volts;35;5.0;1643.33
Refrigerador Electrolux DFN41 Frost Free com Painel de Controle Externo 371L - Branco;2722;4.5;2599.00
Refrigerador Brastemp Inverse BRE57AK Frost Free com Painel Eletrônico 443L - Evox;1408;5.0;4349.00
Refrigerador Brastemp Side Inverse BRE80AK Frost Free Maxi Evox - 573 L;706;5.0;6209.00
Refrigerador Electrolux DFX41 Frost Free com Turbo Congelamento 371L - Inox;1241;4.5;2949.00
Refrigerador Frost Free Electrolux TF39 310 Litros;400;4.5;2299.00
Geladeira/Refrigerador Electrolux Frost Free 3 Portas French Door 579 Litros Multidoor DM84X;0;0;6399.00
Refrigerador Electrolux TW42S Top Freezer com Dispenser de Água Platinum – 382L;487;5.0;3199.00
Geladeira Electrolux 2 Portas 260L Cycle Defrost Branco;55;4.5;1998.89
Refrigerador Brastemp Inverse BRE57AB Frost Free com Espaço Adapt 443L - Branco;1276;5.0;3999.00
Geladeira Refrigerador Panasonic 387L Frost Free Painel LED NR-BT40BD1X;87;5.0;2599.00
Refrigerador Panasonic Frost Free NR-BT40BD1W com Painel Eletrônico - 387 L;464;5.0;2609.00
Refrigerador Electrolux DF44 com Prateleira Reversível Branco – 402L;605;5.0;2819.00
Refrigerador Brastemp BRM54HBA Frost Free com Twist Ice 400L - Branco;1480;5.0;3099.00
Refrigerador Consul CRE44AK Frost Free Duplex com Turbo Freezer Prata – 397L;420;5.0;3599.00
Refrigerador Electrolux DC51X Cycle Defrost Duplex com Freezer Gigante 475 L - Prata;342;4.5;3299.00
Refrigerador Electrolux TF55S com Prateleira Reversível Platinum – 431L;756;4.5;3699.00
Refrigerador Panasonic NR-BB53GV3B Frost Free com Porta de Vidro Preto - 425L;274;5.0;4299.00
Geladeira Consul Frost Free Duplex 340 litros com Prateleiras Altura Flex;140;5.0;2599.00
Refrigerador Electrolux Frost Free TF55 com Prateleira Reversível Branco – 431L;1116;4.5;2849.00
Refrigerador Electrolux Bottom DB53X Frost Free com Painel Blue Touch 454L - Inox;448;4.5;4199.00
Geladeira Frost Free Midea Multidoor com 4 Portas 482L Inox RS556F;0;0;6399.00
Refrigerador Electrolux DC51Cycle Defrost com Multiflow 475L - Branco;339;4.5;2453.52
Geladeira Consul Biplex CRD37E 332L;26;4.5;2349.00
Refrigerador Esmaltec RCD34 Branco - 276 L;195;4.5;1899.00
Refrigerador Consul CRM39AK Frost Free com Prateleiras Altura Flex Evox Prata – 340L;1338;4.5;2698.00
Geladeira Brastemp Frost Free Duplex Ative! Inverse Maxi BRE80 com Freezer Invertido e Controle Eletrônico - 573L;625;4.5;4626.00
Refrigerador Electrolux Cycle Defrost 260 Litros Branco DC35A;89;4.5;2198.01
Refrigerador Frost Free 310 Litros Platinum (TF39S);188;4.5;2499.00
Refrigerador Electrolux Degelo Prático 240L Cycle Defrost - RE31;8;5.0;1710.45
Refrigerador Brastemp BRM56AB Frost Free com Turbo Ice 462L - Branco;1004;5.0;3648.00
Refrigerador Consul CRM56HK Frost Free com Espaço Flex e Controle de Temperatura Externo 450L - Inox;209;5.0;3599.00
Refrigerador Philco French Door Inverse 482L PFR500I;22;5.0;4798.82
Refrigerador Brastemp BRM54HK Frost Free com Freeze Control Inox - 400L;823;5.0;3699.00
Geladeira/Refrigerador Esmaltec Cycle Defrost 2 Portas RCD34 276 Litros Preto;17;4.5;1939.00
Geladeira / Refrigerador 260 Litros Electrolux 2 Portas Classe a - DC35A;17;5.0;1998.89
Refrigerador Panasonic NR BT50BD3WA Frost Free Econavi 435 Litros Branco;541;5.0;2769.00
Refrigerador Electrolux Frost Free DB53 Bottom com Painel Blue Touch 454L - Branco;1160;5.0;3699.00
Geladeira Consul Frost Free Duplex 397 litros Branca com Freezer Embaixo;6;4.5;6949.00
Refrigerador Brastemp Side Inverse 3 Pts Inox 540L FF 220V;1;5.0;4099.00
Refrigerador Brastemp BRM56AK Frost Free com Espaço Adapt 462L – Evox;490;5.0;2499.00
Refrigerador Continental TC41 Frost Free com Gavetão de Frutas 370L – Branco;375;4.5;2949.00
Geladeira / Refrigerador Frost Free Consul CRB39AK, 342 Litros;0;0;2899.00
Refrigerador Electrolux IF55 Frost Free Inverter Top Freezer Branca - 431L;102;5.0;3619.00
Geladeira/Refrigerador Panasonic Frost Free 2 Portas NR-BT40B 387 Litros Aço Escovado;11;4.5;4399.00
Refrigerador Brastemp BRM45HK Frost Free com Painel Eletrônico Inox - 375L;380;5.0;2948.00
Refrigerador Electrolux Infinity DF82 Frost Free com Sistema Multiflow 553L - Branco;361;4.5;3399.00
Refrigerador Brastemp BRM45HB Frost Free com Painel Eletrônico Branco - 375L;351;4.5;4999.00
Refrigerador Consul CRE44AB Frost Free Duplex com Turbo Freezer Branco – 397L;320;4.5;15999.00
Refrigerador Electrolux Infinity DF82X Frost Free com Painel Blue Touch 553L - Inox;119;4.5;3109.00
Refrigerador Multidoor com Dispenser de Água e Gelo 540L Platinum;1;5.0;4199.90
Refrigerador Panasonic Frost Free NR-BT55PV2W Tecnologia Econavi Branco - 483 Litros;84;5.0;2799.00
Refrigerador Panasonic NR-BB53PV3X Frost Free com Tecnologia Inverter Aço Escovado - 425L;547;5.0;2799.90
Refrigerador Top Freezer 382L Branco (TF42);103;4.5;3015.00
Geladeira Brastemp 375 Litros Frost Free 2 Portas com Painel Eletrônico;21;4.5;2199.00
Geladeira Consul Frost Free Duplex 340 litros CRM39AK com Prateleiras Altura Flex;51;5.0;2859.00
Refrigerador Frost Free Samsung 384L RT38K Top Mount Freezer;1;5.0;2488.78
Geladeira/Refrigerador Consul 2 Portas CRD37 334L Branco - Consul;28;4.5;2099.00
Refrigerador Continental Frost Free TC41S Duplex 370 Litros – Prata;182;5.0;5699.00
Refrigerador Electrolux 371L 2 Portas Frost Free DFN41;185;4.5;3209.00
Geladeira/Refrigerador Esmaltec Cycle Defrost 2 Portas RCD34 276 Litros Inox;4;3.5;3899.00
Refrigerador Electrolux DB84X Frost Free com Bottom Freezer 598L - Inox;107;5.0;2948.00
Geladeira / Refrigerador Frost Free Duplex Consul CRM43NK, 386 Litros;0;0;2799.00
Refrigerador Electrolux DF44S com Prateleira Reversível Platinum – 402L;665;5.0;2899.00
Refrigerador Panasonic Frost Free NR-BT55PV2X Tecnologia Econavi Aço Escovado - 483 Litros;53;5.0;3899.00
Refrigerador Consul Frost Free CRM43NK com 2 Portas Inox - 386 L;884;5.0;3902.90
Refrigerador Brastemp 2 Portas Branco 375L Frost Free;10;4.5;4699.00
Geladeira Frost Free Electrolux DF44 402 Litros Duplex Branca 110V;3;5.0;5299.00
Refrigerador Electrolux Frost Free IF55S Inverter Top Freezer Platinum - 431L;120;4.5;3799.00
Geladeira Electrolux Frost Free 2 Portas DFN41 371 Litros Branca;27;5.0;5999.00
Refrigerador Electrolux Bottom DB84 Frost Free com Painel Blue Touch Branca - 598L;180;5.0;3099.00
Refrigerador Samsung RL4353RBASL Frost Free Inverse Barosa com Compartimento para Vinho Inox - 435L;33;5.0;1998.89
Refrigerador Cycle Defrost 276 Litros RCD 34 - Esmaltec;1;5.0;4943.00
Geladeira / Refrigerador Frost Free Duplex Brastemp BRM56AB, Branca, 462 litros;0;0;4299.00
Refrigerador Electrolux DF56 com Icemax Branco - 474L;794;4.5;2199.00
Refrigerador Midea Side by Side 528L Preto Midea;1;5.0;3159.00
Refrigerador Continental TC56 Frost Free com Gavetão de Frutas 472L – Branco;252;4.5;4699.00
Refrigerador Electrolux Duplex 260L CycleDeFrost Branco 220V;4;5.0;2059.00
Geladeira Philco Frost Free French Door 3 Portas PRF406I 396 Litros;0;0;2199.00
Refrigerador Electrolux DF56S com Icemax Platinum – 474L;740;4.5;3909.00
Refrigerador Consul Biplex CRD37 334 Litros;39;4.5;1710.45
Refrigerador Consul CRM43NB Frost Free Branco - 386 L;2014;5.0;4898.00
Refrigerador Samsung Evolution RT46 com PowerVolt Inverter Duplex 460L - Inox Look;159;5.0;15999.89
Geladeira Consul CRB39AB Frost Free 342L;0;0;2109.00
Refrigerador Duplex Consul Cycle Defrost 334L CRD37EB;7;4.5;2999.00
Geladeira Brastemp Frost Free Duplex 400 litros cor Inox com Freeze Control;72;5.0;2089.00
Refrigerador Electrolux Degelo Prático 240L Cycle Defrost Branco - RE31;2;5.0;8999.00
Geladeira Side By Side Eco Inverter Philco 434 Litros Inox PRF533ID - 220V;4;4.0;1799.00
Geladeira Smart Lg Side By Side Inverter 601 Litros Inox Com Instaview Door-In-Door 127v;1;5.0;26659.90
Refrigerador Duplex Esmaltec 276 Litros RCD34 Duplex Branco;0;0;6999.00
Refrigerador Frost free DF44, 402 Litros - Electrolux;2;5.0;2449.44
Geladeira Duplex Inox Esmaltec RCD38 306L Cycle Defrost;1;5.0;3999.00
Geladeira Frost Free Top Freezer 382L com Dispenser de Água;14;4.5;4599.00
Geladeira Refrigerador Samsung 501 Litros 2 Portas Frost Free RS50N3413S8;0;0;5532.33
Refrigerador Cycle Defrost Electrolux RE31, 240 Litros com 1 porta;2;5.0;3299.00
Geladeira Frost Free Samsung French Door 614L RF27T Black Inox;0;0;4149.00
Refrigerador Brastemp BRO80AKANA Frost Free Side Inverse 540 litros Inox com Ice Maker;0;0;3535.26
Refrigerador Geladeira Consul 2 Portas 334 Litros CRD37EB;0;0;11999.00
Geladeira Brastemp Frost Free 443L;2;5.0;5787.66
Geladeira Brastemp Inverse Frost Free 443 Litros;0;0;2998.00
Geladeira/Refrigerador Brastemp Frost Free Inverse - 443L BRE57 AKANA 220V;0;0;3799.00
Refrigerador Panasonic NR BT50BD3XA Frost Free Econavi 435 Litros Inox;0;0;2151.45
Refrigerador Electrolux DF56 com Icemax Branco 474L - 110V;27;4.5;5609.00
Refrigerador CRM56HK 450 Litros Frost Free 2 Portas Consul;0;0;4159.00
Geladeira Refrigerador Panasonic 435L Frost Free Duplex NR-BT50BD3X;0;0;2539.00
Geladeira Frost Free Electrolux 538 Litros 3 portas Inverse Cor Inox com Água na Porta (DM85X);0;0;5767.00
Geladeira Brastemp Inverse Maxi Frost Free 573 Litros Branca BRE80ABANA;0;0;3399.00
Geladeira Electrolux Cycle Defrost 2 Portas DC51 475L Branca 110V;4;4.5;3199.00
Refrigerador Midea Frost Free MD-RT507FGA04 com Iluminação em LED e Compartimento Extra Frio Inox - 480L;6;4.5;3645.89
Refrigerador Electrolux Cycle Defrost 260L Branco 127v - DC35A;11;5.0;4199.00
Geladeira Consul Frost Free Duplex 397 litros Inox com Freezer Embaixo;25;5.0;4599.00
Refrigerador Brastemp BRM57AB Frost Free com Turbo Ice 500L - Branco;138;5.0;5479.00
Refrigerador Electrolux Cycle Defrost 260l Branco 220V Dc35a;0;0;2350.00
Refrigerador Electrolux TF39 Frost Free com Turbo Congelamento 310L - Branco;50;4.5;2350.00
Geladeira Electrolux Degelo Automático Duplex Infinity DF82X 553 Litros;0;0;3650.00
Refrigerador Midea Frost Free MD-RT453FGA04 com Iluminação em LED e Compartimento Extra Frio Inox - 425L;23;5.0;3999.99
Geladeira/Refrigerador Top Freezer 431L;12;5.0;3699.00
Refrigerador Samsung Evolution RT46 com Powervolt Inverter Duplex 460L - Branco;23;4.5;5767.00
Refrigerador Inverse 2 portas Frost Free, 397Litros CRE44AB - Consul;0;0;4379.00
Refrigerador Samsung Evolution RT46 PowerVolt Inverter Duplex 460L - Black Inox Look;39;5.0;3507.30
Geladeira Brastemp BRE57AKANA Inverse 443L Inox 127V;0;0;2331.72
Geladeira Consul Frost Free 342 Litros Branca Crb39;0;0;2331.72
Geladeira Consul Frost Free 342 Litros Branca Crb39;0;0;2449.44
Geladeira/Refrigerador Consul Frost Free - Duplex 410L CRM50HK;0;0;2799.00
Geladeira Frost Free 400l Brastemp Brm54hk Inox 220V;0;0;3899.00
Refrigerador CRM50 HBHK 410L Frost Free Turbo Freezer Consul;0;0;3899.00
Geladeira Electrolux Degelo Automático Duplex Infinity DF82X 553 Litros;0;0;3099.99
Refrigerador BRM45 375 Litros Frost Free 110W Brastemp;0;0;3699.00
Geladeira Refrigerador Panasonic Frost Free 435 Litros BT50;0;0;2677.00
Geladeira Cycle Defrost, 2 Portas 260 Litros Electrolux DC35A;0;0;22989.00
Geladeira Cycle Defrost, 2 Portas 260 Litros Electrolux DC35A;0;0;3599.00
Refrigerador Geladeira Consul 2 Portas 334 Litros CRD37EB;0;0;2889.00
Refrigerador Consul Frost Free CRM39AB 110V Duplex com Prateleiras Altura Flex Branca 340L;0;0;4699.00
Geladeira Duplex Frost Free 375 Litros BRM44HKANA Brastemp;0;0;1799.00
Refrigerador BRM45 375 Litros Frost Free 110W Brastemp;0;0;3799.00
Geladeira Frost Free 410L Consul Crm50hb Branca 127V;0;0;2732.22
Refrigerador Samsung Evolution RT38 com PowerVolt Inverter Duplex 385L - Inox Look;93;5.0;3353.20
Geladeira Electrolux 371 litros 2 portas Frost Free - DFN41;1;4.0;4989.00
Geladeira Samsung RF22R Inverter Frost Free Smart 3 Portas com Dispenser de Água 501L Inox 220V;0;0;3295.00
Geladeira/Refrigerador TF56S Top Freezer 474L;79;4.5;2899.00
Geladeira/Refrigerador Continental 370 Litros 2 Portas Frost Free;5;4.5;6488.00
Refrigerador Panasonic Frost Free 2 Portas Bottom Freezer NR-BB53 425 Litros Preto;15;5.0;4319.00
Refrigerador Cycle Defrost 245 Litros ROC 31 - Esmaltec;0;0;2032.22
Geladeira Samsung Evolution RT38 com POWERvolt Inverter Duplex 385L Inox Look;10;5.0;2449.00
Refrigerador Panasonic BT40 387L 2 Portas Aço Escovado Frost Free 127V NR-BT40BD1XA;0;0;5999.00
Refrigerador Esmaltec RCD34 276 Litros Cycle Defrost Duas Portas - Branca;0;0;2749.00
Refrigerador Panasonic BT42 387L Inverter Frost Free NR-BT42BV1X;0;0;1921.35
Geladeira/Refrigerador Panasonic Frost Free 2 Portas NR-BB71GVFB 480 Litros Preto;1;5.0;5696.58
Geladeira Refrigerador Top Freezer 2 Portas 475 Litros DC51X Electrolux;0;0;1999.00
Geladeira CRM50HB Frost Free Duplex 410 Litros Com Espaço Flex Consul;0;0;3199.00
Geladeira Refrigerador Brastemp 3 Portas 540 Litros BRO80ABANA;0;0;3549.00
Refrigerador Brastemp BRM57AK Frost Free com Turbo Control 500L - Evox;64;4.5;3999.00
Refrigerador Electrolux Cycle Defrost 260L Branco DC35A 220v;0;0;4699.99
Refrigerador Panasonic Frost Free 2 Portas NR-BT40BD1W 387 Litros Branco 110V;10;5.0;1750.00
Refrigerador Midea Side by Side 528L Preto Midea;1;5.0;4717.63
Geladeira Continental Frost Free 370L TC41S Inox;1;5.0;4375.23
Refrigerador Electrolux DC35A 2 portas 260 litros Cycle Defrost;2;4.0;5498.26
Geladeira Brastemp Duplex 2 Portas BRM56 Frost Free 462L;1;5.0;2732.22
Geladeira / Refrigerador Cycle Defrost Duplex Consul 334 Litros;7;5.0;3699.00
Refrigerador Panasonic NR BT50BD3XA Frost Free Econavi 435 Litros Inox;261;5.0;3499.00
Geladeira Frost Free Duplex Freeze Controle Inox Brastemp 400 Litros BRM54HKBNA;4;4.5;2199.00
Refrigerador Panasonic Frost Free NR-BB53PV3W com Tecnologia Econavi Branco - 425 Litros;4;5.0;4099.89
Geladeira Inverse Frost Free 443l Brastemp Bre57ak Inox 220V;0;0;2487.78
Geladeira Refrigerador Consul 1 Porta Degelo Seco Simples 261 Litros CRA30FBANA;1;4.0;2696.49
Refrigerador de 02 Portas Brastemp Frost Free com 443 Litros com Freezer Invertido Cor Inox - BRE57AK;31;5.0;3043.95
Refrigerador de 02 Portas Electrolux Frost Free com 474 Litros com Top Freezer Branco - DF56;0;0;4998.89
Refrigerador Electrolux Frost Free Inverter 454 Litros Inox IB53X - 127 Volts;0;0;2041.65
Refrigerador Panasonic BT40 387L 2 Portas Aço Escovado Frost Free 220V NR-BT40BD1XB;0;0;3998.89
Refrigerador Frost Free Bottom Freezer Inverter Branco 454 L;65;5.0;6589.00
Geladeira Frost Free Electrolux TF55S 431 Litros Duplex Top Freezer Platinum 110V;3;4.5;3180.15
Geladeira Duplex Consul Cycle Defrost 334L CRD37EB;0;0;5999.90
Refrigerador Brastemp BRE57AK Frost Free Duplex 443 Litros Inverse;8;5.0;11399.00
Refrigerador Frost Free 340L 2 Portas Consul Branco 220V CRM39AB;0;0;4443.33
Geladeira Top Freezer Electrolux 382 Litros Frost Free Branco TF42 – 110V;0;0;2574.00
Geladeira/Refrigerador Frost Free 371 Litros Electrolux DFN41 Branca 220V;0;0;2199.00
Refrigerador Panasonic BB53 Inverter Bottom Freezer 425L 2 Portas Preto Frost Free 127V NR-BB53GV3BA;2;5.0;3522.81
Refrigerador Consul CRD37EB com Prateleiras Removíveis e Reguláveis Branco - 334L;1;5.0;3743.93
Geladeira Refrigerador Panasonic 425L Frost Free Inverse NR-BB53PV3X;35;5.0;2151.45
Refrigerador LG Bottom Freezer Universe Refresh com Moist Balance Crisper™ e Compressor Linear GC-B659BSB Aço Escovado – 451L;11;5.0;2099.99
Geladeira Brastemp Duplex 2 Portas BRM54 Frost Free 400L;32;5.0;7021.11
Geladeira Philco PRF504I Side By Side 489L;0;0;3199.00
Geladeira LG Side by Side Frost Free Inox 601L P-VE GCL247;0;0;4399.00
Refrigerador Electrolux Frost Free Bottom Freezer 454L DB53;8;5.0;3171.90
Refrigerador Continental Duplex Frost Free 370L Prata 220V TC41S;3;5.0;3089.00
Geladeira Electrolux DC35A - 2 portas, 260 Litros, Cycle Defrost com Gavetão de Frutas;1;5.0;3799.00
Geladeira Refrigerador Panasonic 483 Litros Frost Free Duplex NR-BT55PV2;2;5.0;4999.90
Geladeira / Refrigerador Frost Free Duplex Consul CRM56HB, 450 Litros, Branco;0;0;2999.00
Refrigerador Electrolux Cycle Defrost 260L Branco 220v - DC35A;6;5.0;3899.90
Refrigerador Electrolux Cycle Defrost 260l Branco 127V Dc35a;0;0;3149.00
Refrigerador Brastemp Inverse 419L 3 Portas Frost Free Preto 220V BRY59BE;0;0;3279.00
Refrigerador / Geladeira Frost Free Duplex Inverse Brastemp BRE57AB, 443 litros, Branca;0;0;6499.00
Geladeira/Refrigerador - Tf56 Top Freezer 474L;88;4.5;4599.00
Geladeira/Refrigerador Brastemp 443 Litros 2 Portas Frost Free Inverse Classe A BRE57AK;0;0;5673.79
Geladeira Refrigerador Panasonic 387L Frost Free Painel LED NR-BT40BD1X;2;5.0;3299.90
Geladeira Electrolux TF42S Top Freezer 382 Litros Frost Free 2 Portas Platinum;0;0;4999.00
Geladeira Consul Frost Free Duplex 397 litros Inox com freezer Embaixo;48;4.5;2869.00
Refrigerador Philco Side By Side 437L Eco Inverter 127v;0;0;2799.00
Refrigerador 453L Frost Free Inverter Inox Samsung;0;0;3043.95
Geladeira / Refrigerador Brastemp 375 Litros 2 Portas Frost Free Duplex BRM44HK;1;5.0;1899.90
Geladeira Electrolux Frost Free 2 Portas 431L Top Freezer com Fast Adapt e Icemax Platinum;0;0;19999.00
Geladeira/Refrigerador Panasonic 435 Litros NR-BT50, Frost Free, 2 Portas, Econavi, Aço Escovado;6;4.5;6693.00
Geladeira Frost Free Electrolux TF56 474 Litros Duplex Top Freezer Branca 110V;5;5.0;3199.00
Refrigerador Brastemp Inverse BRE59AK Frost Free com Espaço Adapt 460L - Prata;13;4.5;2699.00
Refrigerador Panasonic Frost Free NR-BB53GV3W Tecnologia Econavi White Glass - 425 Litros;27;5.0;4299.90
Refrigerador Philco 437 Litros Side By Side Eco Inverter Inox PRF533I – 220 Volts;1;5.0;4299.90
Geladeira/Refrigerador Brastemp Frost Free Duplex 375L BRM44;0;0;2699.00
Refrigerador Frost Free Bottom Freezer Inverter Inox 454 Litros (IB53X);61;5.0;6739.00
Refrigerador Panasonic Frost Free NR-BT40BD1X com Painel Eletrônico Aço Escovado - 387 Litros;69;4.5;7381.93
Geladeira Frost Free CRM43NB 386 Litros 2 Portas Duplex Consul;0;0;5649.00
Geladeira/Refrigerador Frost Free 371 Litros Electrolux DFN41 Branca 127V;11;4.5;2779.54
Refrigerador Consul 261 Litros Cra30fb;0;0;6299.00
Geladeira Electrolux Multidoor Inox Conectada com FlexiSpace (DQ90X);1;5.0;3535.26
Geladeira Samsung Frost Free Duplex BAROSA com Smart Sensor e Dispenser de Água 432L Inox Look;3;5.0;5973.00
Geladeira Frost Free Top Freezer 382L com Dispenser de Água Electrolux (TW42S);6;5.0;3399.90
Refrigerador Brastemp 2 Portas Branco 375L Frost Free 220V BRM45HBBNA;2;4.0;3810.00
Geladeira Frost Free Duplex 450 Litros Painel Eletrônico CRM56HKBNA Consul;0;0;4799.00
Geladeira Frost Free Duplex 450 Litros Painel Eletrônico CRM56HKBNA Consul;0;0;3849.99
Geladeira/Refrigerador Panasonic Frost Free 2 Portas NR BT40BD1W 387 Litros Branco;5;4.0;3498.00
Geladeira Evolution RT38 Inverter Duplex 385L Bivolt + Lava e Seca Ecobubble 11.7kg 110V Inox Look;1;4.0;3109.90
Geladeira / Refrigerador Frost Free Brastemp Side Inverse BRO80AK, 540 Litros;0;0;2574.00
Geladeira / Refrigerador Frost Free Duplex Inverse Consul CRE44AB, 397 Litros, Branca;0;0;3092.95
Geladeira Frost Free Midea Side by Side RS587F 528L Inox;0;0;6887.78
Geladeira 260L 2P Dc35a Cycle Defrost Branco;0;0;2848.00
Refrigerador Inverse Frost Free Brastemp 573 Litros Evox - BRE80AK - BRE80AKANA;2;4.5;3499.00
Geladeira Refrigerador Panasonic 435L Frost Free Duplex NR-BT50BD3X;0;0;3429.00
Refrigerador French Door Inverter Quattro 482L Midea;9;5.0;6887.78
Geladeira Consul CRM43 Frost Free 386L;0;0;4634.00
Geladeira Refrigerador Top Freezer 2 Portas 475 Litros DC51X Electrolux;0;0;6999.90
Geladeira Panasonic BB71 480 Litros Frost Free Inverter Smartsense Aço Escovado;0;0;5566.98
Geladeira 382l Electrolux Tw42s Inox 127V;0;0;14068.95
Geladeira Frost Free Consul CRM56HK 450 Litros Espaço Flex Inox 220V;0;0;3499.00
Geladeira Frost Free 387 Litros NR-BT40BD1 Panasonic;0;0;4699.00
Geladeira Frost Free Panasonic Aço Escovado 435 Litros Inverter 220V NR-BT51PV3XB;0;0;3899.90
Geladeira Frost Free Continental TC41S 370 Litros Duplex;0;0;2249.00
Geladeira Samsung Evolution RT38 com POWERvolt Inverter Duplex 385L Branco;4;5.0;3699.00
Refrigerador Brastemp Inverse 419L 3 Portas Frost Free Inox 127V BRY59BK;0;0;4719.00
Geladeira Frost Free Consul CRM50HB 410 Litros Espaço Flex Branca 110V;3;5.0;2516.60
Geladeira/Refrigerador Panasonic 435 Litros NR-BT51PV3, Frost Free, 2 Portas, Econavi, Aço Escovado,;2;5.0;4649.00
Geladeira Refrigerador Panasonic 483 Litros Frost Free Duplex NR-BT55PV2W;5;4.5;4946.01
Refrigerador Brastemp Inverse 419L 3 Portas Frost Free Inox 220V BRY59BK;0;0;2999.00
Geladeira Refrigerador DB53X 2 Portas Frost Free 454 Litros Electrolux;0;0;4799.00
Refrigerador Brastemp Frost Free Inverse 540L BRO80 Inox;0;0;3883.95
Geladeira / Refrigerador Frost Free Duplex Inverse Consul CRE44AK, 397 Litros;0;0;3599.00
Geladeira/Refrigerador Philco Frost Free - Side by Side 437L PRF 5331 Eco Inverter - 220v;0;0;3359.00
Geladeira/Refrigerador Smart Side by Side Com Door in Door e Compressor Inverter 601L LG GS65SDN Inox 127V;0;0;4268.23
Geladeira Electrolux DF44 402 Litros Frost Free IceMax com Alarme Branco;0;0;2754.44
Refrigerador Brastemp BRM59AB Frost Free com Cooling Control 478L - Branco;40;5.0;3398.00
Geladeira Consul CRM56HB Frost Free 450L;0;0;3936.45
Refrigerador Consul Branco 2 Portas 334L CRD37EB;3;5.0;3399.00
Refrigerador Continental TC56S Frost Free com Gavetão de Frutas 472L – Prata;72;4.5;5199.00
Refrigerador Frost Free 443L Bre57 Inverse Com Turbo Ice Brastemp;0;0;2986.00
Refrigerador Samsung Inverter Frost Free RT53K6240S8/AZ com Twin Cooling Plus Inox 110v - 528L;4;5.0;3639.00
Geladeira Philco Frost Free French Door 3 Portas PRF406I 396 Litros;0;0;2999.00
Geladeira Electrolux Automático Duplex 2 Portas TF39 310 Litros Aço e Plástico;0;0;2793.80
Geladeira Electrolux Bottom Freezer 2 Portas Frost Free 454L DB53X Cor Inox;1;5.0;5673.79
Refrigerador Electrolux Frost Free 454 Litros Inox DB53X;4;4.0;4943.00
